Clothing,Color,Fabric/Texture,wearCount,Style,Type,Temperature,* 20 initial entries were inputted by team
Mini dress,Checkered Black/White,Silk,0,Casual,Dresses,warm,
Military jacket,Crimson,Linen,0,Outerwear,Jackets,cold,
Cashmere sweater,Blue,Polyester,0,Casual,Tops,cold,
Crew neck sweater,Peach,Wool,0,Casual,Tops,cold,
Chambray shirt,Blush,Silk,0,Casual,Tops,warm,
Romper,Red/White,Linen,0,Casual,Dresses,hot,
Sundress,Blue,Cotton,0,Casual,Dresses,hot,
Sweatshirt,Mauve,Polyester,0,Outerwear,Jackets,cold,
Skater dress,Sage,Linen,0,Casual,Dresses,warm,
Mock neck top,Blue/White,Spandex,0,Casual,Tops,cold,
Colorblock sweater,Terracotta,Cotton,0,Casual,Tops,cold,
Crop top,Lilac,Denim,0,Casual,Tops,hot,
Cowl neck top,Burnt Orange,Cotton,0,Casual,Tops,warm,
Performance jacket,Color Block Navy/White,Polyester,0,Athletic,Activewear,cold,
Military jacket,Terracotta,Silk,0,Outerwear,Jackets,cold,
Floral skirt,Red,Cotton,0,Casual,Bottoms,warm,
Chino shorts,Red,Denim,0,Casual,Bottoms,hot,
Pullover hoodie,Green,Nylon,0,Outerwear,Jackets,cold,
Peplum top,Charcoal,Denim,0,Casual,Tops,warm,
Polo shirt,Mauve,Denim,0,Casual,Tops,warm,
Military jacket,Lavender,Cotton,0,Outerwear,Jackets,cold,
Skinny jeans,Olive,Polyester,0,Casual,Bottoms,warm,
Cowl neck top,Nude,Cotton,0,Casual,Tops,warm,
Sleeveless blouse,Brown,Leather,0,Casual,Tops,cold,
Overalls,Pink,Silk,0,Casual,Dresses,warm,
Varsity jacket,Sky Blue,Leather,0,Outerwear,Jackets,cold,
Blazer,Yellow,Polyester,0,Formal,Jackets,cold,
Yoga shorts,Leopard Print,Polyester,0,Athletic,Activewear,hot,
romper,Charcoal,Polyester,0,Athletic,Activewear,hot,
Puffer vest,Salmon,Silk,0,Outerwear,Jackets,cold,
Sleep shirt,Sky Blue,Linen,0,Loungewear,Tops,warm,
Thermal pajamas,Red/White,Nylon,0,Loungewear,Tops,cold,
Bodysuit,Lavender,Linen,0,Casual,Dresses,warm,
Blouse,Light Blue,Wool,0,Casual,Tops,cold,
Turtleneck sweater,Color Block Navy/White,Silk,0,Casual,Tops,cold,
Shirt dress,Zebra Print,Fleece,0,Casual,Dresses,cold,
Linen jumpsuit,Camouflage Green,Cotton,0,Casual,Dresses,warm,
Compression shirt,Cobalt,Silk,0,Athletic,Activewear,warm,
Sweater dress,Black/Gray,Silk,0,Casual,Dresses,cold,
Party dress,Plum,Leather,0,Casual,Dresses,cold,
Floral dress,Nude,Spandex,0,Casual,Dresses,warm,
Wrap skirt,Black/White,Wool,0,Casual,Bottoms,cold,
Striped sweater,Green,Leather,0,Casual,Tops,cold,
Striped tee,Striped Navy/White,Cotton,0,Casual,Tops,warm,
Henley,Chocolate,Spandex,0,Casual,Tops,warm,
Sweater dress,Blue,Leather,0,Casual,Dresses,cold,
Dress vest,Light Blue,Polyester,0,Formal,Jackets,cold,
Military jacket,Color Block Black/Red,Polyester,0,Outerwear,Jackets,cold,
Pajama pants,Royal Blue,Cotton,0,Loungewear,Bottoms,warm,
Culotte pants,Black/White,Polyester,0,Casual,Bottoms,warm,
Bike shorts,Aqua,Leather,0,Casual,Activewear,hot,
Moisture-wicking shirt,Camouflage Green,Silk,0,Athletic,Activewear,warm,
Striped tee,Plaid Red/Black,Silk,0,Casual,Tops,warm,
Off-shoulder top,Violet,Denim,0,Casual,Tops,warm,
Sleeveless blouse,Sage,Silk,0,Casual,Tops,warm,
Formal blouse,Black/White,Cotton,0,Formal,Tops,warm,
Cropped cardigan,Forest Green,Cotton,0,Outerwear,Jackets,cold,
Wide leg jeans,Forest Green,Nylon,0,Casual,Bottoms,warm,
Leggings,Violet,Cotton,0,Athletic,Bottoms,warm,
Wide leg jeans,Red,Leather,0,Casual,Bottoms,cold,
Ruffle blouse,Red,Cotton,0,Casual,Tops,warm,
Henley,Zebra Print,Silk,0,Casual,Tops,warm,
Wrap dress,Nude,Leather,0,Casual,Dresses,warm,
Thermal leggings,Burgundy,Fleece,0,Athletic,Activewear,cold,
A-line skirt,Lavender,Nylon,0,Casual,Bottoms,warm,
Tube top,Crimson,Linen,0,Casual,Tops,hot,
Gym tank,Beige,Nylon,0,Athletic,Activewear,hot,
Cargo shorts,Red/White,Polyester,0,Casual,Bottoms,hot,
Trench coat,Red/White,Denim,0,Outerwear,Jackets,cold,
Cargo shorts,Terracotta,Silk,0,Casual,Bottoms,hot,
Sleeveless blouse,Violet,Fleece,0,Casual,Tops,warm,
Peplum top,Mint,Leather,0,Casual,Tops,warm,
Windbreaker,Aqua,Polyester,0,Athletic,Jackets,cold,
Sweatpants,Rose,Polyester,0,Loungewear,Bottoms,cold,
Tee,Burnt Orange,Leather,0,Casual,Tops,hot,
Distressed jeans,Denim Blue,Wool,0,Casual,Bottoms,warm,
Bermuda shorts,Lavender,Denim,0,Casual,Bottoms,hot,
Tee,Floral Multicolor,Spandex,0,Casual,Tops,hot,
Skinny jeans,Light Blue,Spandex,0,Casual,Bottoms,warm,
Fleece vest,Mustard,Denim,0,Casual,Jackets,cold,
Anorak,Mauve,Nylon,0,Athletic,Jackets,cold,
Skater dress,Ivory,Polyester,0,Casual,Dresses,warm,
Button-down shirt,Blue/White,Nylon,0,Casual,Tops,warm,
Wrap skirt,Black/White,Cotton,0,Casual,Bottoms,warm,
Sleep shorts,Nude,Fleece,0,Loungewear,Bottoms,hot,
Sleeveless blouse,Salmon,Cotton,0,Casual,Tops,warm,
Denim skirt,Maroon,Leather,0,Casual,Bottoms,warm,
Loungewear set,Pink,Spandex,0,Loungewear,Tops,warm,
Velvet dress,Sky Blue,Wool,0,Casual,Dresses,warm,
Velvet dress,Salmon,Cotton,0,Casual,Dresses,warm,
Bodysuit,Rose,Denim,0,Casual,Dresses,hot,
Running shirt,Plum,Silk,0,Athletic,Activewear,hot,
Yoga pants,Maroon,Nylon,0,Athletic,Activewear,warm,
Denim jacket,Cobalt,Cotton,0,Outerwear,Jackets,cold,
Denim jacket,Orange,Wool,0,Outerwear,Jackets,cold,
Capri pants,Red,Spandex,0,Casual,Bottoms,warm,
Moisture-wicking shirt,Red,Wool,0,Athletic,Activewear,hot,
High waist jeans,Wine,Cotton,0,Casual,Bottoms,warm,
Racerback tank,Caramel,Cotton,0,Athletic,Activewear,hot,
Swim trunks,Floral Multicolor,Leather,0,Athletic,Activewear,hot,
Gym tank,Black/Gray,Cotton,0,Athletic,Activewear,hot,
Cable knit sweater,Purple,Cotton,0,Casual,Tops,cold,
Jumpsuit,Brown,Leather,0,Casual,Dresses,warm,
Romper,Turquoise,Wool,0,Casual,Dresses,hot,
Varsity jacket,Tan,Silk,0,Outerwear,Jackets,cold,
Sport coat,Caramel,Denim,0,Outerwear,Jackets,cold,
Floral jumpsuit,Black/Gray,Cotton,0,Casual,Dresses,warm,
Halter top,Blush,Fleece,0,Casual,Tops,hot,
Peasant blouse,Navy,Linen,0,Casual,Tops,warm,
Bodycon dress,Striped Black/White,Polyester,0,Casual,Dresses,warm,
Bib overalls,Orange,Leather,0,Casual,Dresses,cold,
Longline cardigan,Striped Navy/White,Spandex,0,Outerwear,Jackets,cold,
Pocket tee,Tan,Leather,0,Casual,Tops,hot,
Moisture-wicking shirt,Plum,Nylon,0,Athletic,Activewear,hot,
Sport coat,Wine,Polyester,0,Outerwear,Jackets,cold,
Palazzo pants,Red/White,Spandex,0,Casual,Bottoms,warm,
Windbreaker,Leopard Print,Linen,0,Athletic,Jackets,cold,
Maxi dress,Blush,Fleece,0,Casual,Dresses,warm,
A-line dress,Peach,Denim,0,Casual,Dresses,warm,
Pajama shorts,Beige,Polyester,0,Loungewear,Bottoms,hot,
Blouse,Lilac,Spandex,0,Casual,Tops,warm,
Cropped hoodie,Fuchsia,Fleece,0,Outerwear,Jackets,hot,
Wide leg pants,Crimson,Wool,0,Casual,Bottoms,warm,
Bodysuit,Red,Silk,0,Casual,Dresses,cold,
A-line skirt,Rose,Denim,0,Casual,Bottoms,warm,
Cardigan,Chocolate,Silk,0,Outerwear,Jackets,hot,
Anorak,Hot Pink,Nylon,0,Athletic,Jackets,warm,
Formal skirt,Light Blue,Cotton,0,Formal,Bottoms,cold,
Henley,Black/White,Denim,0,Casual,Tops,cold,
Sundress,Gray,Fleece,0,Casual,Dresses,warm,
A-line skirt,Coral,Silk,0,Casual,Bottoms,warm,
Thermal leggings,Plaid Blue/Green,Linen,0,Athletic,Activewear,hot,
Track pants,Denim Blue,Cotton,0,Athletic,Bottoms,warm,
Peasant blouse,Teal,Spandex,0,Casual,Tops,cold,
Sport coat,Checkered Black/White,Cotton,0,Outerwear,Jackets,cold,
Linen shirt,Plum,Denim,0,Casual,Tops,warm,
Cardigan,Hot Pink,Cotton,0,Outerwear,Jackets,cold,
Sports bra top,Coral,Nylon,0,Athletic,Activewear,warm,
Compression shorts,Red/White,Polyester,0,Athletic,Activewear,cold,
Party dress,Pink,Nylon,0,Casual,Dresses,hot,
Romper,Mint,Leather,0,Casual,Dresses,hot,
Chinos,Houndstooth Black/White,Fleece,0,Casual,Bottoms,warm,
A-line skirt,Striped Navy/White,Silk,0,Casual,Bottoms,hot,
Mini dress,Red/White,Leather,0,Casual,Dresses,warm,
Track jacket,Mint,Silk,0,Athletic,Jackets,warm,
Blazer,Zebra Print,Leather,0,Formal,Jackets,hot,
Sports bra top,Rust,Denim,0,Athletic,Activewear,cold,
Wide leg pants,Beige,Leather,0,Casual,Bottoms,cold,
Midi dress,Color Block Navy/White,Spandex,0,Casual,Dresses,hot,
Thermal pajamas,Leopard Print,Denim,0,Loungewear,Tops,warm,
Running shorts,Chocolate,Linen,0,Athletic,Activewear,warm,
Cargo shorts,Black/Gray,Nylon,0,Casual,Bottoms,warm,
Band tee,Navy/White,Spandex,0,Casual,Tops,hot,
Sweatpants,Black/Gray,Linen,0,Loungewear,Bottoms,cold,
Flannel shirt,Nude,Polyester,0,Casual,Tops,cold,
Skater dress,Camouflage Green,Denim,0,Casual,Dresses,warm,
Dress pants,Fuchsia,Nylon,0,Formal,Bottoms,warm,
Midi dress,Yellow,Cotton,0,Casual,Dresses,warm,
Pencil skirt,Blue,Polyester,0,Formal,Bottoms,cold,
Tuxedo jacket,Red,Denim,0,Formal,Jackets,warm,
Linen shirt,Mint,Leather,0,Casual,Tops,hot,
Lounge shorts,Denim Blue,Leather,0,Loungewear,Bottoms,cold,
Overalls,Black,Nylon,0,Casual,Dresses,warm,
Button-down shirt,Green,Silk,0,Casual,Tops,hot,
Pocket tee,Color Block Navy/White,Cotton,0,Casual,Tops,warm,
Linen dress,Cobalt,Fleece,0,Casual,Dresses,warm,
Dress pants,Turquoise,Denim,0,Formal,Bottoms,hot,
Crop top,Gold,Denim,0,Casual,Tops,cold,
Ribbed sweater,Blue/White,Cotton,0,Casual,Tops,warm,
Peplum top,Floral Multicolor,Polyester,0,Casual,Tops,warm,
Button-down shirt,Tie-Dye Multicolor,Fleece,0,Casual,Tops,hot,
Sports bra,Red,Fleece,0,Athletic,Activewear,warm,
Knit dress,Black,Spandex,0,Casual,Dresses,warm,
Trousers,Nude,Silk,0,Casual,Bottoms,warm,
Striped sweater,Chocolate,Cotton,0,Casual,Tops,hot,
Sundress,Brown,Cotton,0,Casual,Dresses,cold,
Sweatshirt,Camouflage Green,Nylon,0,Outerwear,Jackets,cold,
Oversized hoodie,Gray,Fleece,0,Outerwear,Jackets,cold,
Winter puffer,Ivory,Spandex,0,Outerwear,Jackets,cold,
Midi dress,Green,Cotton,0,Casual,Dresses,warm,
High waist pants,Brown,Fleece,0,Casual,Bottoms,warm,
Trousers,Sky Blue,Nylon,0,Casual,Bottoms,warm,
Crew neck tee,Ivory,Wool,0,Casual,Tops,hot,
Sweatshirt,Plum,Leather,0,Outerwear,Jackets,cold,
One-piece swimsuit,Striped Black/White,Leather,0,Athletic,Activewear,hot,
Chunky knit sweater,Coral,Denim,0,Casual,Tops,cold,
Blouse,Blue/White,Cotton,0,Casual,Tops,warm,
Skirt,Rust,Polyester,0,Casual,Bottoms,warm,
Tuxedo jacket,Rust,Polyester,0,Formal,Jackets,cold,
Wrap skirt,Aqua,Polyester,0,Casual,Bottoms,warm,
Skater dress,Checkered Black/White,Leather,0,Casual,Dresses,warm,
Wide leg pants,Cream,Fleece,0,Casual,Bottoms,cold,
Bike shorts,Mauve,Polyester,0,Casual,Activewear,warm,
Cashmere sweater,Lilac,Wool,0,Casual,Tops,warm,
Mock neck top,Blush,Leather,0,Casual,Tops,cold,
Floral dress,Red/White,Cotton,0,Casual,Dresses,warm,
Leggings,Coral,Fleece,0,Athletic,Bottoms,cold,
Lounge pants,Floral Multicolor,Wool,0,Loungewear,Bottoms,cold,
Evening gown,Leopard Print,Wool,0,Formal,Dresses,cold,
Cocktail dress,Chocolate,Linen,0,Formal,Dresses,warm,
Bodysuit,Navy/White,Fleece,0,Casual,Dresses,cold,
Sweatshirt,Teal,Wool,0,Outerwear,Jackets,cold,
Moisture-wicking shirt,Chocolate,Linen,0,Athletic,Activewear,hot,
Colorblock sweater,Teal,Cotton,0,Casual,Tops,cold,
Overalls,Black/White,Spandex,0,Casual,Dresses,warm,
Loungewear set,Red/White,Leather,0,Loungewear,Tops,cold,
Overalls,Ivory,Denim,0,Casual,Dresses,cold,
Crew neck sweater,Navy/White,Wool,0,Casual,Tops,cold,
Ribbed sweater,Tan,Nylon,0,Casual,Tops,cold,
Pajama pants,Salmon,Cotton,0,Loungewear,Bottoms,warm,
Leather jacket,Burgundy,Cotton,0,Outerwear,Jackets,cold,
Fitted tee,Red/White,Cotton,0,Casual,Tops,hot,
Cowl neck top,Brown,Spandex,0,Casual,Tops,warm,
One-piece swimsuit,Pink,Linen,0,Athletic,Activewear,hot,
Bodycon dress,Cream,Cotton,0,Casual,Dresses,warm,
Pajama shorts,Black/Gray,Silk,0,Loungewear,Bottoms,hot,
Midi dress,Red/White,Nylon,0,Casual,Dresses,warm,
Softshell jacket,Denim Blue,Cotton,0,Athletic,Jackets,cold,
Maxi dress,Rose,Denim,0,Casual,Dresses,cold,
Merino sweater,Sage,Nylon,0,Casual,Tops,cold,
Sleeveless blouse,Charcoal,Nylon,0,Casual,Tops,hot,
Overcoat,Leopard Print,Spandex,0,Outerwear,Jackets,cold,
Anorak,Royal Blue,Wool,0,Athletic,Jackets,cold,
Bikini top,Olive,Leather,0,Casual,Activewear,hot,
Distressed jeans,Mint,Cotton,0,Casual,Bottoms,cold,
Bootcut jeans,Royal Blue,Denim,0,Casual,Bottoms,cold,
Wrap blouse,Black/Gray,Silk,0,Casual,Tops,warm,
Thermal pajamas,Red/White,Spandex,0,Loungewear,Tops,cold,
Dress vest,Purple,Cotton,0,Formal,Jackets,warm,
Sleep shorts,Brown,Nylon,0,Loungewear,Bottoms,hot,
Bermuda shorts,Turquoise,Linen,0,Casual,Bottoms,hot,
Thermal pajamas,Wine,Cotton,0,Loungewear,Tops,cold,
Denim jacket,Yellow,Denim,0,Outerwear,Jackets,cold,
Bootcut jeans,Denim Blue,Linen,0,Casual,Bottoms,cold,
Tuxedo jacket,Floral Multicolor,Cotton,0,Formal,Jackets,cold,
Sundress,Color Block Navy/White,Leather,0,Casual,Dresses,hot,
Wide leg jumpsuit,Color Block Navy/White,Denim,0,Casual,Dresses,warm,
Sweater,Navy,Cotton,0,Casual,Tops,cold,
A-line skirt,Rose,Leather,0,Casual,Bottoms,cold,
Windbreaker,Peach,Polyester,0,Athletic,Jackets,cold,
Rain jacket,Caramel,Denim,0,Outerwear,Jackets,cold,
Pencil skirt,Caramel,Leather,0,Formal,Bottoms,warm,
Wide leg jumpsuit,Leopard Print,Leather,0,Casual,Dresses,cold,
Cowl neck top,Color Block Navy/White,Denim,0,Casual,Tops,cold,
Track jacket,Light Blue,Nylon,0,Athletic,Jackets,cold,
Blazer,Tan,Denim,0,Formal,Jackets,cold,
Faux leather jacket,Crimson,Fleece,0,Outerwear,Jackets,cold,
Zip-up top,Burgundy,Cotton,0,Casual,Tops,cold,
Sleep shorts,Yellow,Silk,0,Loungewear,Bottoms,hot,
Faux leather jacket,Mint,Nylon,0,Outerwear,Jackets,warm,
Wide leg pants,Rust,Wool,0,Casual,Bottoms,hot,
Cowl neck top,Turquoise,Polyester,0,Casual,Tops,cold,
Henley,Camouflage Green,Polyester,0,Casual,Tops,cold,
Varsity jacket,Crimson,Polyester,0,Outerwear,Jackets,warm,
Pullover sweater,Plum,Polyester,0,Casual,Tops,warm,
Oxford shirt,Chocolate,Polyester,0,Formal,Tops,cold,
Oversized sweater,Olive,Wool,0,Casual,Tops,cold,
Track jacket,Nude,Cotton,0,Athletic,Jackets,warm,
Overcoat,Checkered Black/White,Fleece,0,Outerwear,Jackets,cold,
Oversized sweater,Turquoise,Leather,0,Casual,Tops,cold,
Linen pants,Salmon,Fleece,0,Casual,Bottoms,cold,
Linen jumpsuit,Caramel,Polyester,0,Casual,Dresses,warm,
Workout top,Red/White,Nylon,0,Athletic,Activewear,hot,
Raincoat,Striped Black/White,Denim,0,Outerwear,Jackets,cold,
Thermal leggings,Red,Denim,0,Athletic,Activewear,cold,
Sports bra,Purple,Linen,0,Athletic,Activewear,hot,
Floral dress,Light Blue,Wool,0,Casual,Dresses,cold,
Leather jacket,Color Block Black/Red,Spandex,0,Outerwear,Jackets,cold,
Pencil skirt,Gold,Leather,0,Formal,Bottoms,cold,
Mock neck top,Forest Green,Leather,0,Casual,Tops,cold,
Palazzo pants,Red,Spandex,0,Casual,Bottoms,warm,
Crop top,Teal,Leather,0,Casual,Tops,hot,
Crew neck sweater,Nude,Polyester,0,Casual,Tops,warm,
Workout top,Lavender,Leather,0,Athletic,Activewear,hot,
Boyfriend jeans,Burgundy,Fleece,0,Casual,Bottoms,cold,
Leather jacket,Striped Black/White,Fleece,0,Outerwear,Jackets,cold,
Maxi skirt,Floral Multicolor,Cotton,0,Casual,Bottoms,warm,
Henley,Rose,Nylon,0,Casual,Tops,warm,
romper,Gold,Silk,0,Athletic,Activewear,hot,
Field jacket,Mauve,Polyester,0,Athletic,Jackets,cold,
Crop top,Mint,Fleece,0,Casual,Tops,hot,
Cardigan,Striped Navy/White,Fleece,0,Outerwear,Jackets,cold,
Zip-up hoodie,White,Spandex,0,Outerwear,Jackets,cold,
Sweater dress,Denim Blue,Wool,0,Casual,Dresses,cold,
Yoga shorts,Pink,Linen,0,Athletic,Activewear,hot,
Maxi dress,Ivory,Leather,0,Casual,Dresses,cold,
Tube top,Color Block Black/Red,Wool,0,Casual,Tops,hot,
Sundress,Color Block Navy/White,Fleece,0,Casual,Dresses,hot,
Wrap blouse,Fuchsia,Wool,0,Casual,Tops,cold,
Bib overalls,Color Block Navy/White,Wool,0,Casual,Dresses,cold,
Turtleneck sweater,Royal Blue,Denim,0,Casual,Tops,cold,
Raglan shirt,Rose,Nylon,0,Casual,Tops,warm,
Tuxedo pants,Plum,Nylon,0,Formal,Bottoms,cold,
Gym tank,Red,Nylon,0,Athletic,Activewear,hot,
Longline cardigan,Tie-Dye Multicolor,Leather,0,Outerwear,Jackets,cold,
Blazer,Ivory,Polyester,0,Formal,Jackets,hot,
Linen shirt,Denim Blue,Wool,0,Casual,Tops,cold,
Cocktail dress,Striped Navy/White,Nylon,0,Formal,Dresses,cold,
Linen jumpsuit,Crimson,Cotton,0,Casual,Dresses,cold,
Oversized tee,Lavender,Leather,0,Casual,Tops,warm,
Sports bra top,Rose,Silk,0,Athletic,Activewear,warm,
Varsity jacket,Plum,Nylon,0,Outerwear,Jackets,hot,
Denim jacket,Houndstooth Black/White,Linen,0,Outerwear,Jackets,hot,
Sleep shorts,Turquoise,Leather,0,Loungewear,Bottoms,cold,
Formal skirt,Gray,Polyester,0,Formal,Bottoms,cold,
Floral skirt,Cobalt,Spandex,0,Casual,Bottoms,hot,
Field jacket,Aqua,Cotton,0,Athletic,Jackets,warm,
Cardigan,Striped Navy/White,Wool,0,Outerwear,Jackets,warm,
Cashmere sweater,Mustard,Polyester,0,Casual,Tops,cold,
Field jacket,Plaid Red/Black,Spandex,0,Athletic,Jackets,cold,
Windbreaker,Hot Pink,Linen,0,Athletic,Jackets,cold,
Pajama set,Lime,Cotton,0,Loungewear,Tops,cold,
Softshell jacket,Cobalt,Spandex,0,Athletic,Jackets,cold,
Button-down shirt,Red/White,Nylon,0,Casual,Tops,warm,
Casual dress,Crimson,Linen,0,Casual,Dresses,cold,
Loungewear set,Burnt Orange,Cotton,0,Loungewear,Tops,warm,
Blazer,Striped Navy/White,Polyester,0,Formal,Jackets,warm,
Fleece robe,Denim Blue,Nylon,0,Loungewear,Jackets,warm,
Cropped jeans,Color Block Black/Red,Linen,0,Casual,Bottoms,cold,
Colorblock sweater,Plaid Red/Black,Cotton,0,Casual,Tops,cold,
Wrap dress,Purple,Silk,0,Casual,Dresses,cold,
romper,Houndstooth Black/White,Polyester,0,Athletic,Activewear,cold,
Sweatshirt,Mauve,Wool,0,Outerwear,Jackets,warm,
Sweater,Plaid Red/Black,Denim,0,Casual,Tops,warm,
Palazzo pants,Sage,Nylon,0,Casual,Bottoms,warm,
Track pants,Turquoise,Fleece,0,Athletic,Bottoms,hot,
Fleece robe,Burnt Orange,Wool,0,Loungewear,Jackets,cold,
Pencil skirt,Plaid Red/Black,Nylon,0,Formal,Bottoms,warm,
Anorak,Sage,Fleece,0,Athletic,Jackets,cold,
Mock neck top,Checkered Black/White,Fleece,0,Casual,Tops,warm,
Skater dress,Violet,Linen,0,Casual,Dresses,warm,
Bermuda shorts,Ivory,Fleece,0,Casual,Bottoms,hot,
Thermal pajamas,Chocolate,Leather,0,Loungewear,Tops,cold,
Romper,Green,Leather,0,Casual,Dresses,warm,
Distressed jeans,Rust,Polyester,0,Casual,Bottoms,warm,
Cargo shorts,Color Block Black/Red,Wool,0,Casual,Bottoms,hot,
Oversized tee,Sky Blue,Cotton,0,Casual,Tops,warm,
Linen pants,Beige,Cotton,0,Casual,Bottoms,warm,
Track pants,Mustard,Polyester,0,Athletic,Bottoms,hot,
Compression shirt,Peach,Polyester,0,Athletic,Activewear,hot,
Sports bra,Striped Navy/White,Spandex,0,Athletic,Activewear,hot,
Pajama set,Denim Blue,Cotton,0,Loungewear,Tops,cold,
Crewneck sweatshirt,Burgundy,Silk,0,Outerwear,Jackets,cold,
Cashmere sweater,Striped Navy/White,Leather,0,Casual,Tops,cold,
Merino sweater,Rust,Fleece,0,Casual,Tops,cold,
Pleated skirt,Mint,Polyester,0,Casual,Bottoms,warm,
Track jacket,Navy,Silk,0,Athletic,Jackets,cold,
Fleece vest,Cream,Wool,0,Casual,Jackets,cold,
Summer dress,Wine,Cotton,0,Casual,Dresses,warm,
Skater dress,Floral Multicolor,Polyester,0,Casual,Dresses,warm,
Moisture-wicking tee,Teal,Cotton,0,Athletic,Activewear,hot,
Graphic tee,Turquoise,Spandex,0,Casual,Tops,warm,
Yoga pants,Mint,Leather,0,Athletic,Activewear,hot,
Oversized sweater,Checkered Black/White,Cotton,0,Casual,Tops,cold,
Peacoat,Denim Blue,Spandex,0,Outerwear,Jackets,cold,
Wide leg jumpsuit,Forest Green,Fleece,0,Casual,Dresses,warm,
Dress vest,Cobalt,Spandex,0,Formal,Jackets,cold,
Sports bra top,Blue/White,Wool,0,Athletic,Activewear,hot,
Sports bra,Coral,Cotton,0,Athletic,Activewear,hot,
dress,Plum,Fleece,0,Athletic,Activewear,warm,
Ski jacket,Orange,Wool,0,Athletic,Jackets,cold,
Sweater,Salmon,Nylon,0,Casual,Tops,cold,
Leather jacket,Lavender,Spandex,0,Outerwear,Jackets,cold,
Floral dress,Blue,Nylon,0,Casual,Dresses,warm,
Oversized tee,Plaid Red/Black,Fleece,0,Casual,Tops,warm,
Palazzo pants,Black,Wool,0,Casual,Bottoms,warm,
Bodycon dress,Gold,Leather,0,Casual,Dresses,warm,
Training shorts,Forest Green,Linen,0,Athletic,Activewear,hot,
Midi skirt,White,Wool,0,Casual,Bottoms,warm,
Cashmere sweater,Pink,Denim,0,Casual,Tops,cold,
Camisole,Royal Blue,Leather,0,Casual,Tops,warm,
Maxi skirt,Burgundy,Linen,0,Casual,Bottoms,warm,
Sleep shirt,Camouflage Green,Spandex,0,Loungewear,Tops,cold,
Loungewear set,Royal Blue,Fleece,0,Loungewear,Tops,cold,
Mini dress,Yellow,Silk,0,Casual,Dresses,warm,
Crew neck tee,Plaid Red/Black,Cotton,0,Casual,Tops,warm,
Linen jumpsuit,Blush,Cotton,0,Casual,Dresses,warm,
Robe,Color Block Navy/White,Leather,0,Loungewear,Jackets,cold,
Gym tank,Houndstooth Black/White,Silk,0,Athletic,Activewear,hot,
Performance jacket,Lime,Nylon,0,Athletic,Activewear,cold,
Windbreaker,Black/Gray,Cotton,0,Athletic,Jackets,cold,
Fleece robe,Pink,Nylon,0,Loungewear,Jackets,cold,
Parka,Cobalt,Polyester,0,Outerwear,Jackets,cold,
Crewneck sweatshirt,Camouflage Green,Spandex,0,Outerwear,Jackets,cold,
Softshell jacket,Houndstooth Black/White,Cotton,0,Athletic,Jackets,cold,
Zip-up top,Lavender,Nylon,0,Casual,Tops,cold,
Romper,Cobalt,Silk,0,Casual,Dresses,warm,
Sports bra,Plaid Blue/Green,Spandex,0,Athletic,Activewear,hot,
Denim jacket,Black/Gray,Polyester,0,Outerwear,Jackets,cold,
Linen jumpsuit,Light Blue,Cotton,0,Casual,Dresses,warm,
Summer dress,Blue/White,Polyester,0,Casual,Dresses,warm,
Anorak,Striped Black/White,Denim,0,Athletic,Jackets,cold,
Running tights,Gray,Nylon,0,Athletic,Activewear,hot,
Pleated pants,Black,Silk,0,Casual,Bottoms,warm,
Utility jacket,Caramel,Polyester,0,Outerwear,Jackets,cold,
Linen dress,Violet,Cotton,0,Casual,Dresses,warm,
Pullover hoodie,Tan,Cotton,0,Outerwear,Jackets,cold,
Winter puffer,Cream,Fleece,0,Outerwear,Jackets,cold,
Formal gown,Coral,Denim,0,Formal,Dresses,warm,
Track jacket,Nude,Nylon,0,Athletic,Jackets,cold,
Shirt dress,Black/Gray,Cotton,0,Casual,Dresses,cold,
Wrap dress,Chocolate,Nylon,0,Casual,Dresses,warm,
Crew neck tee,Violet,Denim,0,Casual,Tops,cold,
Straight leg jeans,Houndstooth Black/White,Denim,0,Casual,Bottoms,warm,
Fleece jacket,Light Blue,Silk,0,Outerwear,Jackets,warm,
T-shirt,Gray,Leather,0,Casual,Tops,warm,
Floral jumpsuit,Checkered Black/White,Denim,0,Casual,Dresses,cold,
Fleece vest,Hot Pink,Silk,0,Casual,Jackets,warm,
Palazzo pants,Blue/White,Denim,0,Casual,Bottoms,hot,
Striped tee,Sage,Wool,0,Casual,Tops,warm,
Running tights,Cobalt,Cotton,0,Athletic,Activewear,cold,
Dress vest,Nude,Cotton,0,Formal,Jackets,warm,
Trousers,Burnt Orange,Cotton,0,Casual,Bottoms,hot,
Compression shirt,Cream,Leather,0,Athletic,Activewear,cold,
Open front cardigan,Beige,Fleece,0,Outerwear,Jackets,warm,
Tennis skirt,Ivory,Silk,0,Athletic,Bottoms,hot,
Jumpsuit,Mustard,Nylon,0,Casual,Dresses,cold,
Joggers,Tan,Denim,0,Athletic,Bottoms,cold,
Blazer,Teal,Silk,0,Formal,Jackets,warm,
Formal skirt,Purple,Wool,0,Formal,Bottoms,cold,
Dress pants,Turquoise,Linen,0,Formal,Bottoms,warm,
Colorblock sweater,Leopard Print,Silk,0,Casual,Tops,warm,
Party dress,Turquoise,Wool,0,Casual,Dresses,hot,
Camisole,Color Block Black/Red,Cotton,0,Casual,Tops,warm,
Cable knit sweater,Black/White,Fleece,0,Casual,Tops,warm,
